@relation 'imputed_result'
@attribute 'pclass' {'1','2-3'}
@attribute 'sex' {'female','male'}
@attribute 'age' numeric
@attribute 'sibsp' numeric
@attribute 'parch' numeric
@attribute 'fare' numeric
@attribute 'embarked' {'C','Q','S'}
@attribute 'class' numeric
@data
"1","male",61,1,3,262.375,"C",0
"1","female",48,1,3,262.375,"C",1
"1","male",41.0929133826605,0,0,30.5,"S",1
"1","female",24,0,0,69.3,"C",1
"1","male",41.319671828474,0,0,26,"S",1
"1","female",35,1,0,57.75,"C",1
"1","female",30,0,0,31,"C",1
"1","male",34,0,0,26.55,"S",1
"1","female",40,0,0,153.4625,"S",1
"1","male",35,0,0,26.2875,"S",1
"1","male",50,1,0,55.9,"S",0
"1","female",39,1,0,55.9,"S",1
"1","male",56,0,0,35.5,"C",1
"1","male",28,0,0,35.5,"S",1
"1","male",56,0,0,26.55,"S",0
"1","male",56,0,0,30.6958,"C",0
"1","male",24,1,0,60,"S",0
"1","male",45.1021224919694,0,0,26,"S",0
"1","female",18,1,0,60,"S",1
"1","male",24,1,0,82.2667,"S",1
"1","female",23,1,0,82.2667,"S",1
"1","male",6,0,2,134.5,"C",1
"1","male",45,1,1,134.5,"C",1
"1","female",40,1,1,134.5,"C",1
"1","male",57,1,0,146.5208,"C",0
"1","female",35.4863742098862,1,0,146.5208,"C",1
"1","male",32,0,0,30.5,"C",1
"1","male",62,0,0,26.55,"S",0
"1","male",54,1,0,55.4417,"C",1
"1","female",43,1,0,55.4417,"C",1
"1","female",52,1,0,78.2667,"C",1
"1","male",41.1596518948236,0,0,27.7208,"C",0
"1","female",62,0,0,80,"C",1
"1","male",67,1,0,221.7792,"S",0
"1","female",63,1,0,221.7792,"S",0
"1","male",61,0,0,32.3208,"S",0
"1","female",48,0,0,25.9292,"S",1
"1","female",18,0,2,79.65,"S",1
"1","male",52,1,1,79.65,"S",0
"1","female",39,1,1,79.65,"S",1
"1","male",48,1,0,52,"S",1
"1","female",37.0804930444589,1,0,52,"S",1
"1","male",49,1,1,110.8833,"C",0
"1","male",17,0,2,110.8833,"C",1
"1","female",39,1,1,110.8833,"C",1
"1","female",40.5785247144053,0,0,79.2,"C",1
"1","male",31,0,0,28.5375,"C",1
"1","male",40,0,0,27.7208,"C",0
"1","male",61,0,0,33.5,"S",0
"1","male",47,0,0,34.0208,"S",0
"1","female",35,0,0,512.3292,"C",1
"1","male",64,1,0,75.25,"C",0
"1","female",60,1,0,75.25,"C",1
"1","male",60,0,0,26.55,"S",0
"1","male",54,0,1,77.2875,"S",0
"1","male",21,0,1,77.2875,"S",0
"1","female",55,0,0,135.6333,"C",1
"1","female",31,0,2,164.8667,"S",1
"1","male",57,1,1,164.8667,"S",0
"1","female",45,1,1,164.8667,"S",1
"1","male",50,1,1,211.5,"C",0
"1","male",27,0,2,211.5,"C",0
"1","female",50,1,1,211.5,"C",1
"1","female",21,0,0,26.55,"S",1
"1","male",51,0,1,61.3792,"C",0
"1","male",21,0,1,61.3792,"C",1
"1","male",45.7701442003793,0,0,35,"S",0
"1","female",31,0,0,134.5,"C",1
"1","male",38.4639800439548,0,0,35.5,"S",1
"1","male",62,0,0,26.55,"S",0
"1","female",36,0,0,135.6333,"C",1
"2-3","male",30,1,0,24,"C",0
"2-3","female",28,1,0,24,"C",1
"2-3","male",30,0,0,13,"S",0
"2-3","male",18,0,0,11.5,"S",0
"2-3","male",25,0,0,10.5,"S",0
"2-3","male",34,1,0,26,"S",0
"2-3","female",36,1,0,26,"S",1
"2-3","male",57,0,0,13,"S",0
"2-3","male",18,0,0,11.5,"S",0
"2-3","male",23,0,0,10.5,"S",0
"2-3","female",36,0,0,13,"S",1
"2-3","male",28,0,0,10.5,"S",0
"2-3","male",51,0,0,12.525,"S",0
"2-3","male",32,1,0,26,"S",1
"2-3","female",19,1,0,26,"S",1
"2-3","male",28,0,0,26,"S",0
"2-3","male",1,2,1,39,"S",1
"2-3","female",4,2,1,39,"S",1
"2-3","female",12,2,1,39,"S",1
"2-3","female",36,0,3,39,"S",1
"2-3","male",34,0,0,13,"S",1
"2-3","female",19,0,0,13,"S",1
"2-3","male",23,0,0,13,"S",0
"2-3","male",26,0,0,13,"S",0
"2-3","male",42,0,0,13,"S",0
"2-3","male",27,0,0,13,"S",0
"2-3","female",24,0,0,13,"S",1
"2-3","female",15,0,2,39,"S",1
"2-3","male",60,1,1,39,"S",0
"2-3","female",40,1,1,39,"S",1
"2-3","female",20,1,0,26,"S",1
"2-3","male",25,1,0,26,"S",0
"2-3","female",36,0,0,13,"S",1
"2-3","male",25,0,0,13,"S",0
"2-3","male",42,0,0,13,"S",0
"2-3","female",42,0,0,13,"S",1
"2-3","male",0.8333,0,2,29,"S",1
"2-3","male",26,1,1,29,"S",1
"2-3","female",22,1,1,29,"S",1
"2-3","female",35,0,0,21,"S",1
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","male",19,0,0,13,"S",0
"2-3","female",44,1,0,26,"S",0
"2-3","male",54,1,0,26,"S",0
"2-3","male",52,0,0,13.5,"S",0
"2-3","male",37,1,0,26,"S",0
"2-3","female",29,1,0,26,"S",0
"2-3","female",25,1,1,30,"S",1
"2-3","female",45,0,2,30,"S",1
"2-3","male",29,1,0,26,"S",0
"2-3","female",28,1,0,26,"S",1
"2-3","male",29,0,0,10.5,"S",0
"2-3","male",28,0,0,13,"S",0
"2-3","male",24,0,0,10.5,"S",1
"2-3","female",8,0,2,26.25,"S",1
"2-3","male",31,1,1,26.25,"S",0
"2-3","female",31,1,1,26.25,"S",1
"2-3","female",22,0,0,10.5,"S",1
"2-3","female",30,0,0,13,"S",0
"2-3","female",28.0386942440775,0,0,21,"S",0
"2-3","male",21,0,0,11.5,"S",0
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","male",8,1,1,36.75,"S",1
"2-3","male",18,0,0,73.5,"S",0
"2-3","female",48,0,2,36.75,"S",1
"2-3","female",28,0,0,13,"S",1
"2-3","male",32,0,0,13,"S",0
"2-3","male",17,0,0,73.5,"S",0
"2-3","male",29,1,0,27.7208,"C",0
"2-3","female",24,1,0,27.7208,"C",1
"2-3","male",25,0,0,31.5,"S",0
"2-3","male",18,0,0,73.5,"S",0
"2-3","female",18,0,1,23,"S",1
"2-3","female",34,0,1,23,"S",1
"2-3","male",54,0,0,26,"S",0
"2-3","male",8,0,2,32.5,"S",1
"2-3","male",42,1,1,32.5,"S",0
"2-3","female",34,1,1,32.5,"S",1
"2-3","female",27,1,0,13.8583,"C",1
"2-3","female",30,1,0,13.8583,"C",1
"2-3","male",23,0,0,13,"S",0
"2-3","male",21,0,0,13,"S",0
"2-3","male",18,0,0,13,"S",0
"2-3","male",40,1,0,26,"S",0
"2-3","female",29,1,0,26,"S",1
"2-3","male",18,0,0,10.5,"S",0
"2-3","male",36,0,0,13,"S",0
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","female",38,0,0,13,"S",0
"2-3","male",35,0,0,26,"S",0
"2-3","male",38,1,0,21,"S",0
"2-3","male",34,1,0,21,"S",0
"2-3","female",34,0,0,13,"S",1
"2-3","male",16,0,0,26,"S",0
"2-3","male",26,0,0,10.5,"S",0
"2-3","male",47,0,0,10.5,"S",0
"2-3","male",21,1,0,11.5,"S",0
"2-3","male",21,1,0,11.5,"S",0
"2-3","male",24,0,0,13.5,"S",0
"2-3","male",24,0,0,13,"S",0
"2-3","male",34,0,0,13,"S",0
"2-3","male",30,0,0,13,"S",0
"2-3","male",52,0,0,13,"S",0
"2-3","male",30,0,0,13,"S",0
"2-3","male",0.6667,1,1,14.5,"S",1
"2-3","female",24,0,2,14.5,"S",1
"2-3","male",44,0,0,13,"S",0
"2-3","female",6,0,1,33,"S",1
"2-3","male",28,0,1,33,"S",0
"2-3","male",62,0,0,10.5,"S",1
"2-3","male",30,0,0,10.5,"S",0
"2-3","female",7,0,2,26.25,"S",1
"2-3","male",43,1,1,26.25,"S",0
"2-3","female",45,1,1,26.25,"S",1
"2-3","female",24,1,2,65,"S",1
"2-3","female",24,1,2,65,"S",1
"2-3","male",49,1,2,65,"S",0
"2-3","female",48,1,2,65,"S",1
"2-3","female",55,0,0,16,"S",1
"2-3","male",24,2,0,73.5,"S",0
"2-3","male",32,2,0,73.5,"S",0
"2-3","male",21,2,0,73.5,"S",0
"2-3","female",18,1,1,13,"S",0
"2-3","female",20,2,1,23,"S",1
"2-3","male",23,2,1,11.5,"S",0
"2-3","male",36,0,0,13,"S",0
"2-3","female",54,1,3,23,"S",1
"2-3","male",50,0,0,13,"S",0
"2-3","male",44,1,0,26,"S",0
"2-3","female",29,1,0,26,"S",1
"2-3","male",21,0,0,73.5,"S",0
"2-3","male",42,0,0,13,"S",1
"2-3","male",63,1,0,26,"S",0
"2-3","female",60,1,0,26,"S",0
"2-3","male",33,0,0,12.275,"S",0
"2-3","female",17,0,0,10.5,"S",1
"2-3","male",42,1,0,27,"S",0
"2-3","female",24,2,1,27,"S",1
"2-3","male",47,0,0,15,"S",0
"2-3","male",24,2,0,31.5,"S",0
"2-3","male",22,2,0,31.5,"S",0
"2-3","male",32,0,0,10.5,"S",0
"2-3","female",23,0,0,13.7917,"C",1
"2-3","male",34,1,0,26,"S",0
"2-3","female",24,1,0,26,"S",1
"2-3","female",22,0,0,21,"S",0
"2-3","female",28.6228069173982,0,0,12.35,"Q",1
"2-3","male",35,0,0,12.35,"Q",0
"2-3","female",45,0,0,13.5,"S",1
"2-3","male",57,0,0,12.35,"Q",0
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","male",31,0,0,10.5,"S",0
"2-3","female",26,1,1,26,"S",0
"2-3","male",30,1,1,26,"S",0
"2-3","male",39.2616295232282,0,0,10.7083,"Q",0
"2-3","female",1,1,2,41.5792,"C",1
"2-3","female",3,1,2,41.5792,"C",1
"2-3","male",25,1,2,41.5792,"C",0
"2-3","female",22,1,2,41.5792,"C",1
"2-3","female",17,0,0,12,"C",1
"2-3","female",25.9394713754474,0,0,33,"S",1
"2-3","female",34,0,0,10.5,"S",1
"2-3","male",36,0,0,12.875,"C",0
"2-3","male",24,0,0,10.5,"S",0
"2-3","male",61,0,0,12.35,"Q",0
"2-3","male",50,1,0,26,"S",0
"2-3","female",42,1,0,26,"S",1
"2-3","female",57,0,0,10.5,"S",0
"2-3","male",29.4564648362596,0,0,15.0458,"C",0
"2-3","male",1,0,2,37.0042,"C",1
"2-3","male",31,1,1,37.0042,"C",0
"2-3","female",24,1,1,37.0042,"C",1
"2-3","male",28.8992496847445,0,0,15.5792,"C",0
"2-3","male",30,0,0,13,"S",0
"2-3","male",40,0,0,16,"S",0
"2-3","male",32,0,0,13.5,"S",0
"2-3","male",30,0,0,13,"S",0
"2-3","male",46,0,0,26,"S",0
"2-3","female",13,0,1,19.5,"S",1
"2-3","female",41,0,1,19.5,"S",1
"2-3","male",19,0,0,10.5,"S",1
"2-3","male",39,0,0,13,"S",0
"2-3","male",48,0,0,13,"S",0
"2-3","male",70,0,0,10.5,"S",0
"2-3","male",27,0,0,13,"S",0
"2-3","male",54,0,0,14,"S",0
"2-3","male",39,0,0,26,"S",0
"2-3","male",16,0,0,10.5,"S",0
"2-3","male",62,0,0,9.6875,"Q",0
"2-3","male",32.5,1,0,30.0708,"C",0
"2-3","female",14,1,0,30.0708,"C",1
"2-3","male",2,1,1,26,"S",1
"2-3","male",3,1,1,26,"S",1
"2-3","male",36.5,0,2,26,"S",0
"2-3","male",26,0,0,13,"S",0
"2-3","male",19,1,1,36.75,"S",0
"2-3","male",28,0,0,13.5,"S",0
"2-3","male",20,0,0,13.8625,"C",1
"2-3","female",29,0,0,10.5,"S",1
"2-3","male",39,0,0,13,"S",0
"2-3","male",22,0,0,10.5,"S",1
"2-3","male",26.6983124162722,0,0,13.8625,"C",1
"2-3","male",23,0,0,10.5,"S",0
"2-3","male",29,0,0,13.8583,"C",1
"2-3","male",28,0,0,10.5,"S",0
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","female",50,0,1,26,"S",1
"2-3","male",19,0,0,10.5,"S",0
"2-3","male",29.4564648362596,0,0,15.05,"C",0
"2-3","male",41,0,0,13,"S",0
"2-3","female",21,0,1,21,"S",1
"2-3","female",19,0,0,26,"S",1
"2-3","male",43,0,1,21,"S",0
"2-3","female",32,0,0,13,"S",1
"2-3","male",34,0,0,13,"S",0
"2-3","male",30,0,0,12.7375,"C",1
"2-3","male",27,0,0,15.0333,"C",0
"2-3","female",2,1,1,26,"S",1
"2-3","female",8,1,1,26,"S",1
"2-3","female",33,0,2,26,"S",1
"2-3","male",36,0,0,10.5,"S",0
"2-3","male",34,1,0,21,"S",0
"2-3","female",30,3,0,21,"S",1
"2-3","female",28,0,0,13,"S",1
"2-3","male",23,0,0,15.0458,"C",0
"2-3","male",0.8333,1,1,18.75,"S",1
"2-3","male",3,1,1,18.75,"S",1
"2-3","female",24,2,3,18.75,"S",1
"2-3","female",50,0,0,10.5,"S",1
"2-3","male",19,0,0,10.5,"S",0
"2-3","female",21,0,0,10.5,"S",1
"2-3","male",26,0,0,13,"S",0
"2-3","male",25,0,0,13,"S",0
"2-3","male",27,0,0,26,"S",0
"2-3","female",25,0,1,26,"S",1
"2-3","female",18,0,2,13,"S",1
"2-3","female",20,0,0,36.75,"S",1
"2-3","female",30,0,0,13,"S",1
"2-3","male",59,0,0,13.5,"S",0
"2-3","female",30,0,0,12.35,"Q",1
"2-3","male",35,0,0,10.5,"S",0
"2-3","female",40,0,0,13,"S",1
"2-3","male",25,0,0,13,"S",0
"2-3","male",41,0,0,15.0458,"C",0
"2-3","male",25,0,0,10.5,"S",0
"2-3","male",18.5,0,0,13,"S",0
"2-3","male",14,0,0,65,"S",0
"2-3","female",50,0,0,10.5,"S",1
"2-3","male",23,0,0,13,"S",0
"2-3","female",28,0,0,12.65,"S",1
"2-3","female",27,0,0,10.5,"S",1
"2-3","male",29,1,0,21,"S",0
"2-3","female",27,1,0,21,"S",0
"2-3","male",40,0,0,13,"S",0
"2-3","female",31,0,0,21,"S",1
"2-3","male",30,1,0,21,"S",0
"2-3","male",23,1,0,10.5,"S",0
"2-3","female",31,0,0,21,"S",1
"2-3","male",32.2547037820654,0,0,0,"S",0
"2-3","female",12,0,0,15.75,"S",1
"2-3","female",40,0,0,15.75,"S",1
"2-3","female",32.5,0,0,13,"S",1
"2-3","male",27,1,0,26,"S",0
"2-3","female",29,1,0,26,"S",1
"2-3","male",2,1,1,23,"S",1
"2-3","female",4,1,1,23,"S",1
"2-3","female",29,0,2,23,"S",1
"2-3","female",0.9167,1,2,27.75,"S",1
"2-3","female",5,1,2,27.75,"S",1
"2-3","male",36,1,2,27.75,"S",0
"2-3","female",33,1,2,27.75,"S",1
"2-3","male",66,0,0,10.5,"S",0
"2-3","male",31.5317085949946,0,0,12.875,"S",0
"2-3","male",31,0,0,13,"S",1
"2-3","male",30.4324488984197,0,0,13,"S",1
"2-3","female",26,0,0,13.5,"S",1
"2-3","female",24,0,0,13,"S",0
"2-3","male",42,0,0,7.55,"S",0
"2-3","male",13,0,2,20.25,"S",0
"2-3","male",16,1,1,20.25,"S",0
"2-3","female",35,1,1,20.25,"S",1
"2-3","female",16,0,0,7.65,"S",1
"2-3","male",25,0,0,7.65,"S",1
"2-3","male",20,0,0,7.925,"S",1
"2-3","female",18,0,0,7.2292,"C",1
"2-3","male",30,0,0,7.25,"S",0
"2-3","male",26,0,0,8.05,"S",0
"2-3","female",40,1,0,9.475,"S",0
"2-3","male",0.8333,0,1,9.35,"S",1
"2-3","female",18,0,1,9.35,"S",1
"2-3","male",26,0,0,18.7875,"C",1
"2-3","male",26,0,0,7.8875,"S",0
"2-3","male",20,0,0,7.925,"S",0
"2-3","male",24,0,0,7.05,"S",0
"2-3","male",25,0,0,7.05,"S",0
"2-3","male",35,0,0,8.05,"S",0
"2-3","male",18,0,0,8.3,"S",0
"2-3","male",32,0,0,22.525,"S",0
"2-3","female",19,1,0,7.8542,"S",1
"2-3","male",4,4,2,31.275,"S",0
"2-3","female",6,4,2,31.275,"S",0
"2-3","female",2,4,2,31.275,"S",0
"2-3","female",17,4,2,7.925,"S",1
"2-3","female",38,4,2,7.775,"S",0
"2-3","female",9,4,2,31.275,"S",0
"2-3","female",11,4,2,31.275,"S",0
"2-3","male",39,1,5,31.275,"S",0
"2-3","male",27,0,0,7.7958,"S",1
"2-3","male",26,0,0,7.775,"S",0
"2-3","female",39,1,5,31.275,"S",0
"2-3","male",20,0,0,7.8542,"S",0
"2-3","male",26,0,0,7.8958,"S",0
"2-3","male",25,1,0,17.8,"S",0
"2-3","female",18,1,0,17.8,"S",0
"2-3","male",24,0,0,7.775,"S",0
"2-3","male",35,0,0,7.05,"S",0
"2-3","male",5,4,2,31.3875,"S",0
"2-3","male",9,4,2,31.3875,"S",0
"2-3","male",3,4,2,31.3875,"S",1
"2-3","male",13,4,2,31.3875,"S",0
"2-3","female",5,4,2,31.3875,"S",1
"2-3","male",40,1,5,31.3875,"S",0
"2-3","male",23,0,0,7.7958,"S",1
"2-3","female",38,1,5,31.3875,"S",1
"2-3","female",45,0,0,7.225,"C",1
